candidate,office,district,party,county,precinct,election_day,absentee,early_voting,provisional,total votes
,Straight Party,,D,Floyd,NEW ALBANY 36,79,15,44,0,138
,Straight Party,,L,Floyd,NEW ALBANY 36,2,1,1,0,4
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 36,116,123,6,0,245
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 36,19,21,0,0,40
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 36,83,78,7,0,168
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 36,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 36,119,119,4,0,242
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 36,19,21,1,0,41
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 36,87,73,6,0,166
Write In ,Secretary of State,,,Floyd,NEW ALBANY 36,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 36,117,16,89,0,222
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 36,123,25,74,0,222
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 36,2,0,3,0,5
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 36,128,19,93,0,240
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 36,114,21,71,0,206
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 36,122,19,89,0,230
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 36,122,22,78,0,222
Write In ,U S House,9,,Floyd,NEW ALBANY 36,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 36,129,22,93,0,244
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 36,115,19,75,0,209
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 36,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 36,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 36,117,19,94,0,230
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 36,128,22,74,0,224
,Registered Voters,,,Floyd,NEW ALBANY 37,,,,,3820
,Ballots Cast,,,Floyd,NEW ALBANY 37,275,34,230,,539
,Straight Party,,R,Floyd,NEW ALBANY 37,106,5,62,0,173
,Straight Party,,D,Floyd,NEW ALBANY 37,67,7,50,0,124
,Straight Party,,L,Floyd,NEW ALBANY 37,1,0,1,0,2
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 37,153,107,11,1,272
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 37,10,21,3,0,34
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 37,110,113,5,0,228
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 37,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 37,161,103,9,0,273
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 37,13,17,3,0,33
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 37,111,107,3,0,221
Write In ,Secretary of State,,,Floyd,NEW ALBANY 37,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 37,161,14,109,0,284
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 37,101,17,106,0,224
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 37,6,1,5,0,12
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 37,168,13,113,0,294
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 37,102,19,109,0,230
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 37,167,10,109,0,286
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 37,106,24,116,0,246
Write In ,U S House,9,,Floyd,NEW ALBANY 37,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 37,168,11,117,0,296
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 37,107,23,109,0,239
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 37,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 37,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 37,163,11,113,0,287
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 37,108,22,113,0,243
,Registered Voters,,,Floyd,NEW ALBANY 38,,,,,4556
,Ballots Cast,,,Floyd,NEW ALBANY 38,339,26,290,,655
,Straight Party,,R,Floyd,NEW ALBANY 38,102,5,86,0,193
,Straight Party,,D,Floyd,NEW ALBANY 38,57,8,62,0,127
,Straight Party,,L,Floyd,NEW ALBANY 38,2,0,1,0,3
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 38,207,124,5,0,336
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 38,10,14,1,0,25
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 38,145,132,10,0,287
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 38,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 38,217,105,3,0,325
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 38,9,16,0,0,25
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 38,152,125,9,0,286
Write In ,Secretary of State,,,Floyd,NEW ALBANY 38,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 38,209,8,156,0,373
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 38,104,15,122,0,241
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 38,7,2,7,0,16
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 38,216,10,163,0,389
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 38,103,15,123,0,241
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 38,215,10,156,0,381
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 38,118,15,133,0,266
Write In ,U S House,9,,Floyd,NEW ALBANY 38,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 38,219,8,163,0,390
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 38,114,17,124,0,255
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 38,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 38,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 38,213,10,154,0,377
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 38,122,15,134,0,271
,Registered Voters,,,Floyd,NEW ALBANY 39,,,,,4144
,Ballots Cast,,,Floyd,NEW ALBANY 39,318,33,269,,620
,Straight Party,,R,Floyd,NEW ALBANY 39,123,6,92,0,221
,Straight Party,,D,Floyd,NEW ALBANY 39,49,12,47,0,108
,Straight Party,,L,Floyd,NEW ALBANY 39,3,0,1,0,4
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 39,213,91,7,0,311
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 39,10,23,0,0,33
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 39,162,98,4,0,264
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 39,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 39,225,76,7,0,308
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 39,11,21,1,0,33
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 39,170,89,2,0,261
Write In ,Secretary of State,,,Floyd,NEW ALBANY 39,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 39,218,12,168,0,398
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 39,83,20,87,0,190
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 39,6,0,5,0,11
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 39,231,13,172,0,416
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 39,77,19,89,0,185
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 39,225,11,171,0,407
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 39,90,22,94,0,206
Write In ,U S House,9,,Floyd,NEW ALBANY 39,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 39,236,13,181,0,430
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 39,78,20,85,0,183
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 39,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 39,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 39,232,13,179,0,424
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 39,79,20,84,0,183
,Registered Voters,,,Floyd,NEW ALBANY 40,,,,,3416
,Ballots Cast,,,Floyd,NEW ALBANY 40,223,38,223,,484
,Straight Party,,R,Floyd,NEW ALBANY 40,63,8,62,0,133
,Straight Party,,D,Floyd,NEW ALBANY 40,58,20,56,0,134
,Straight Party,,L,Floyd,NEW ALBANY 40,1,0,0,0,1
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 40,104,102,14,0,220
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 40,10,26,0,0,36
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 40,109,106,7,0,222
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 40,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 40,104,98,10,0,212
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 40,10,24,1,0,35
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 40,106,106,7,0,219
Write In ,Secretary of State,,,Floyd,NEW ALBANY 40,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 40,106,10,106,0,222
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 40,93,25,107,0,225
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 40,9,0,6,0,15
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 40,114,9,114,0,237
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 40,97,25,105,0,227
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 40,111,9,107,0,227
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 40,103,26,110,0,239
Write In ,U S House,9,,Floyd,NEW ALBANY 40,1,0,1,0,2
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 40,106,11,108,0,225
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 40,106,24,109,0,239
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 40,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 40,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 40,121,13,115,0,249
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 40,93,24,103,0,220
,Registered Voters,,,Floyd,NEW ALBANY 41,,,,,5172
,Ballots Cast,,,Floyd,NEW ALBANY 41,319,60,242,,621
,Straight Party,,R,Floyd,NEW ALBANY 41,113,16,91,0,220
,Straight Party,,D,Floyd,NEW ALBANY 41,82,20,58,0,160
,Straight Party,,L,Floyd,NEW ALBANY 41,2,0,0,0,2
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 41,165,139,12,0,316
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 41,20,36,2,0,58
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 41,129,102,7,0,238
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 41,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 41,166,135,12,0,313
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 41,27,31,1,0,59
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 41,135,101,1,0,237
Write In ,Secretary of State,,,Floyd,NEW ALBANY 41,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 41,168,22,137,0,327
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 41,134,36,96,0,266
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 41,9,0,1,0,10
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 41,170,24,139,0,333
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 41,143,33,96,0,272
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 41,170,21,135,0,326
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 41,149,38,104,0,291
Write In ,U S House,9,,Floyd,NEW ALBANY 41,0,0,1,0,1
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 41,177,26,143,0,346
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 41,140,34,96,0,270
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 41,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 41,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 41,171,27,138,0,336
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 41,144,33,99,0,276
,Registered Voters,,,Floyd,NEW ALBANY 42,,,,,3392
,Ballots Cast,,,Floyd,NEW ALBANY 42,179,35,283,,497
,Straight Party,,R,Floyd,NEW ALBANY 42,45,6,81,0,132
,Straight Party,,D,Floyd,NEW ALBANY 42,44,13,58,0,115
,Straight Party,,L,Floyd,NEW ALBANY 42,1,0,0,0,1
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 42,86,88,5,0,179
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 42,8,24,0,0,32
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 42,151,119,10,0,280
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 42,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 42,83,84,6,0,173
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 42,8,26,0,0,34
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 42,157,112,8,0,277
Write In ,Secretary of State,,,Floyd,NEW ALBANY 42,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 42,89,8,155,0,252
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 42,75,25,115,0,215
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 42,6,0,6,0,12
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 42,91,9,158,0,258
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 42,81,24,115,0,220
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 42,91,8,160,0,259
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 42,87,26,121,0,234
Write In ,U S House,9,,Floyd,NEW ALBANY 42,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 42,86,12,168,0,266
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 42,89,21,112,0,222
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 42,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 42,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 42,90,11,170,0,271
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 42,88,23,110,0,221
,Registered Voters,,,Floyd,NEW ALBANY 43,,,,,2112
,Ballots Cast,,,Floyd,NEW ALBANY 43,184,21,151,,356
,Straight Party,,R,Floyd,NEW ALBANY 43,30,3,30,0,63
,Straight Party,,D,Floyd,NEW ALBANY 43,50,5,46,0,101
,Straight Party,,L,Floyd,NEW ALBANY 43,1,0,0,0,1
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 43,77,99,7,1,184
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 43,8,12,0,0,20
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 43,63,80,7,0,150
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 43,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 43,80,92,4,0,176
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 43,9,11,0,0,20
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 43,75,71,3,0,149
Write In ,Secretary of State,,,Floyd,NEW ALBANY 43,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 43,73,9,68,0,150
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 43,94,9,77,0,180
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 43,6,2,3,0,11
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 43,83,10,74,0,167
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 43,93,10,74,0,177
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 43,81,8,70,0,159
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 43,100,13,80,0,193
Write In ,U S House,9,,Floyd,NEW ALBANY 43,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 43,80,11,71,0,162
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 43,98,10,78,0,186
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 43,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 43,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 43,81,8,74,0,163
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 43,100,13,76,0,189
,Registered Voters,,,Floyd,NEW ALBANY 44,,,,,4204
,Ballots Cast,,,Floyd,NEW ALBANY 44,367,34,228,1,630
,Straight Party,,R,Floyd,NEW ALBANY 44,94,3,43,0,140
,Straight Party,,D,Floyd,NEW ALBANY 44,66,15,51,0,132
,Straight Party,,L,Floyd,NEW ALBANY 44,3,0,0,0,3
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 44,196,150,16,0,362
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 44,8,23,3,0,34
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 44,89,127,11,0,227
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 44,1,0,0,0,1
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 44,204,132,20,0,356
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 44,10,23,1,0,34
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 44,92,121,5,0,218
Write In ,Secretary of State,,,Floyd,NEW ALBANY 44,1,0,0,0,1
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 44,206,10,91,0,307
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 44,132,23,116,0,271
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 44,14,0,9,0,23
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 44,211,10,100,1,322
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 44,137,24,114,0,275
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 44,213,9,98,1,321
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 44,152,25,128,0,305
Write In ,U S House,9,,Floyd,NEW ALBANY 44,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 44,219,13,112,1,345
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 44,141,21,113,0,275
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 44,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 44,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 44,211,12,100,1,324
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 44,152,22,126,0,300
,Registered Voters,,,Floyd,NEW ALBANY 45,,,,,2004
,Ballots Cast,,,Floyd,NEW ALBANY 45,153,13,127,,293
,Straight Party,,R,Floyd,NEW ALBANY 45,56,0,47,0,103
,Straight Party,,D,Floyd,NEW ALBANY 45,25,3,30,0,58
,Straight Party,,L,Floyd,NEW ALBANY 45,1,0,0,0,1
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 45,88,58,6,0,152
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 45,4,9,0,0,13
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 45,64,58,4,0,126
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 45,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 45,95,47,6,0,148
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 45,7,6,0,0,13
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 45,70,54,1,0,125
Write In ,Secretary of State,,,Floyd,NEW ALBANY 45,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 45,94,6,65,0,165
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 45,51,7,58,0,116
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 45,3,0,2,0,5
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 45,99,5,72,0,176
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 45,48,8,53,0,109
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 45,96,5,67,0,168
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 45,55,8,60,0,123
Write In ,U S House,9,,Floyd,NEW ALBANY 45,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 45,101,7,69,0,177
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 45,50,6,58,0,114
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 45,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 45,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 45,102,8,80,0,190
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 45,50,4,47,0,101
,Registered Voters,,,Floyd,NEW ALBANY 46,,,,,1848
,Ballots Cast,,,Floyd,NEW ALBANY 46,179,14,134,1,328
,Straight Party,,R,Floyd,NEW ALBANY 46,63,9,51,1,124
,Straight Party,,D,Floyd,NEW ALBANY 46,27,3,22,0,52
,Straight Party,,L,Floyd,NEW ALBANY 46,0,0,0,0,0
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 46,111,58,3,0,172
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 46,10,4,0,0,14
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 46,89,44,1,0,134
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 46,1,0,0,0,1
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 46,117,52,4,0,173
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 46,10,4,0,0,14
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 46,92,41,1,0,134
Write In ,Secretary of State,,,Floyd,NEW ALBANY 46,1,0,0,0,1
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 46,118,10,92,1,221
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 46,47,4,40,0,91
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 46,4,0,1,0,5
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 46,124,10,95,1,230
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 46,46,4,39,0,89
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 46,120,10,94,1,225
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 46,57,4,40,0,101
Write In ,U S House,9,,Floyd,NEW ALBANY 46,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 46,123,10,95,1,229
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 46,52,4,38,0,94
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 46,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 46,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 46,114,10,90,1,215
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 46,60,4,43,0,107
